epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17451,1.20056,3.59271,1.04088,0.00333,1,0.75092,0.54488,0.86782,3.51211,0.88577,8e-05,8e-05,8e-05
2,7.73246,1.0597,3.06505,0.92773,0.00333,1,0.9725,0.60336,1.03493,3.38805,0.9068,0.000176436,0.000176436,0.000176436
3,11.877,1.03151,2.06253,0.8921,0.92836,0.72727,0.9725,0.70239,0.84314,3.21948,0.87312,0.000268912,0.000268912,0.000268912
4,16.1793,1.04498,2.0241,0.99821,1,0.7807,0.995,0.71753,0.92024,3.11633,0.86868,0.000357428,0.000357428,0.000357428
5,20.6628,0.89037,1.86782,0.9334,0.71886,1,0.971,0.73537,0.83681,3.32317,0.85328,0.000441984,0.000441984,0.000441984
6,25.028,0.93956,1.71017,1.03231,0.00617,1,0.75813,0.59066,0.68459,3.4083,0.84736,0.00052258,0.00052258,0.00052258
7,29.3827,0.95399,1.71336,1.02089,0.79191,0.34893,0.44737,0.34251,0.75483,3.36362,0.8906,0.000599216,0.000599216,0.000599216
8,33.687,0.95053,1.71707,1.02903,0.83115,0.27273,0.64146,0.46801,0.80165,3.29476,0.93447,0.000671892,0.000671892,0.000671892
9,38.1031,0.924,1.56099,1.02395,1,0.22196,0.43325,0.33969,0.85549,3.48047,0.97682,0.000740608,0.000740608,0.000740608
10,42.3378,0.92224,1.46083,1.03445,1,0.23368,0.911,0.64022,0.89144,3.18241,1.00839,0.000805364,0.000805364,0.000805364
11,46.0189,0.79809,1.36915,0.98198,1,0.23613,0.71029,0.52979,0.85808,3.24432,1.01722,0.00086616,0.00086616,0.00086616
12,49.8726,0.92175,1.36993,1.05594,0.27625,0.72727,0.48015,0.33707,0.88854,3.36813,1.06827,0.000922996,0.000922996,0.000922996
13,53.6365,0.89844,1.39379,1.03218,0.79484,0.70615,0.75325,0.52894,0.9098,2.97328,1.07418,0.000975872,0.000975872,0.000975872
14,57.2398,0.89151,1.30732,1.02381,0.79484,0.70615,0.75325,0.52894,0.9098,2.97328,1.07418,0.00102479,0.00102479,0.00102479
15,61.1755,0.96911,1.31698,1.02116,0.86524,0.81818,0.87694,0.58917,0.92278,2.62717,1.11849,0.00106974,0.00106974,0.00106974
16,64.9363,0.86507,1.17627,0.92438,0.88579,0.81818,0.92471,0.65751,1.00509,2.35403,1.15175,0.00111074,0.00111074,0.00111074
17,68.6864,0.91829,1.34788,0.971,0.9132,0.95836,0.9875,0.74949,0.93741,2.41591,1.11414,0.00114778,0.00114778,0.00114778
18,72.3238,0.90322,1.28801,0.99499,0.9132,0.95836,0.9875,0.74949,0.93741,2.41591,1.11414,0.00118085,0.00118085,0.00118085
19,75.9665,0.87763,1.44192,0.95132,0.91474,0.97693,0.9875,0.74661,0.96349,2.51787,1.06256,0.00120997,0.00120997,0.00120997
20,79.6552,0.8623,1.26574,0.95514,1,0.98119,0.995,0.76279,0.94592,2.06001,1.06846,0.00123512,0.00123512,0.00123512
21,83.3489,0.82174,1.43549,1.05329,1,0.98119,0.995,0.76279,0.94592,2.06001,1.06846,0.001208,0.001208,0.001208
22,87.072,0.91292,1.19489,1.01559,0.9804,0.90909,0.98115,0.72127,0.88588,1.76983,1.09432,0.0011684,0.0011684,0.0011684
23,90.8147,0.88429,1.14059,0.97117,0.72788,0.90909,0.80072,0.54888,0.88176,1.82513,1.06866,0.0011288,0.0011288,0.0011288
24,94.3978,0.94636,1.32095,1.02139,0.72788,0.90909,0.80072,0.54888,0.88176,1.82513,1.06866,0.0010892,0.0010892,0.0010892
25,98.0556,0.91407,1.28929,1.0539,0.83943,0.95235,0.89346,0.65494,0.87176,1.86038,1.06485,0.0010496,0.0010496,0.0010496
26,101.631,0.8994,1.38645,1.06812,0.83943,0.95235,0.89346,0.65494,0.87176,1.86038,1.06485,0.00101,0.00101,0.00101
27,105.421,0.83015,1.21108,0.98219,0.9469,1,0.995,0.70012,0.887,1.53981,1.06608,0.0009704,0.0009704,0.0009704
28,109.407,0.79382,1.30327,0.97324,0.99479,1,0.995,0.74336,0.8573,1.33788,1.05874,0.0009308,0.0009308,0.0009308
